Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.10     0.00   509503     0.00     0.00  std::vector<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::allocator<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >::operator[](unsigned long)
  0.00      0.10     0.00   459311     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.10     0.00   452931     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Block> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.10     0.00   452856     0.00     0.00  Block::GetSize() const
  0.00      0.10     0.00   452600     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Block> >::_M_ptr()
  0.00      0.10     0.00   452600     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Block> >::_M_addr()
  0.00      0.10     0.00   452572     0.00     0.01  std::_Rb_tree_iterator<std::pair<int const, Block> >::operator*() const
  0.00      0.10     0.00   397045     0.00     0.01  std::vector<int, std::allocator<int> >::end()
  0.00      0.10     0.00   397045     0.00     0.01  std::vector<int, std::allocator<int> >::begin()
  0.00      0.10     0.00   360967     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.10     0.00   236776     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.10     0.00   226505     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::end()
  0.00      0.10     0.00   226505     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, Block> > const&, std::_Rb_tree_iterator<std::pair<int const, Block> > const&)
  0.00      0.10     0.00   226424     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_M_end()
  0.00      0.10     0.00   226397     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_M_mbegin() const
  0.00      0.10     0.00   226397     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_M_begin()
  0.00      0.10     0.00   226396     0.00     0.00  std::map<int, Block, std::less<int>, std::allocator<std::pair<int const, Block> > >::end()
  0.00      0.10     0.00   226286     0.00     0.12  std::map<int, Block, std::less<int>, std::allocator<std::pair<int const, Block> > >::lower_bound(int const&)
  0.00      0.10     0.00   226286     0.00     0.18  std::map<int, Block, std::less<int>, std::allocator<std::pair<int const, Block> > >::operator[](int const&)
  0.00      0.10     0.00   226286     0.00     0.12  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::lower_bound(int const&)
  0.00      0.10     0.00   226272     0.00     0.02  std::map<int, Block, std::less<int>, std::allocator<std::pair<int const, Block> > >::key_comp() const
  0.00      0.10     0.00   198812     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  0.00      0.10     0.00   194892     0.00     0.00  Block::SetPosition(sf::Vector2<float> const&)
  0.00      0.10     0.00   194892     0.00     0.00  Block::Render(Yuna::Core::Window*)
  0.00      0.10     0.00   194892     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.10     0.00   194892     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.10     0.00   182662     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.10     0.00   174072     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.10     0.00   150829     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<unsigned int const, ComponentContainer>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<unsigned int const, ComponentContainer>, false>*)
  0.00      0.10     0.00   150826     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<unsigned int const, ComponentContainer>, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<unsigned int const, ComponentContainer>, false>*)
  0.00      0.10     0.00   150811     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false>*)
  0.00      0.10     0.00   134446     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      0.10     0.00   107235     0.00     0.00  std::hash<unsigned int>::operator()(unsigned int) const
  0.00      0.10     0.00   107235     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned int const&) const
  0.00      0.10     0.00   107235     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.10     0.00   107235     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned int>, true>::_M_cget() const
  0.00      0.10     0.00   107234     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.10     0.00   107234     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.10     0.00   107233     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned int const&, unsigned long) const
  0.00      0.10     0.00   107233     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const
  0.00      0.10     0.00   107232     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, ComponentContainer> >::_M_ptr() const
  0.00      0.10     0.00   107232     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, ComponentContainer> >::_M_addr() const
  0.00      0.10     0.00   107232     0.00     0.00  std::__detail::_Select1st::__1st_type<std::pair<unsigned int const, ComponentContainer> const&>::type&& std::__detail::_Select1st::operator()<std::pair<unsigned int const, ComponentContainer> const&>(std::pair<unsigned int const, ComponentContainer> const&) const
  0.00      0.10     0.00   107232     0.00     0.00  std::pair<unsigned int const, ComponentContainer> const& std::forward<std::pair<unsigned int const, ComponentContainer> const&>(std::remove_reference<std::pair<unsigned int const, ComponentContainer> const&>::type&)
  0.00      0.10     0.00   107230     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_key_equals(unsigned int const&, std::__detail::_Hash_node_value<std::pair<unsigned int const, ComponentContainer>, false> const&) const
  0.00      0.10     0.00   107230     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.10     0.00   107230     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<unsigned int const, ComponentContainer>, false> const&) const
  0.00      0.10     0.00   107230     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned int>, true>::_M_cget() const
  0.00      0.10     0.00   107230     0.00     0.00  std::equal_to<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
  0.00      0.10     0.00   107230     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.10     0.00    87192     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false>*)
  0.00      0.10     0.00    87036     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.10     0.00    87036     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.10     0.00    75423     0.00     0.00  std::hash<unsigned long>::operator()(unsigned long) const
  0.00      0.10     0.00    75423     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned long const&) const
  0.00      0.10     0.00    75423     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.10     0.00    75423     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long>, true>::_M_cget() const
  0.00      0.10     0.00    75422     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, ComponentContainer> >::_M_ptr()
  0.00      0.10     0.00    75422     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, ComponentContainer> >::_M_addr()
  0.00      0.10     0.00    75416     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.10     0.00    75416     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(unsigned int const&) const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::size() const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned long const&, unsigned long) const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned long const&, unsigned long) const
  0.00      0.10     0.00    75413     0.00     0.00  std::unordered_map<unsigned int, ComponentContainer, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, ComponentContainer> > >::end() const
  0.00      0.10     0.00    75413     0.00     0.00  std::unordered_map<unsigned int, ComponentContainer, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, ComponentContainer> > >::find(unsigned int const&) const
  0.00      0.10     0.00    75413     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, ComponentContainer>, std::allocator<std::pair<unsigned int const, ComponentContainer> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::__small_size_threshold()
  0.00      0.10     0.00    75413     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<unsigned int> >::__small_size_threshold()
  0.00      0.10     0.00    75413     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<unsigned int const, ComponentContainer>, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned int const, ComponentContainer>, false> const&)
  0.00      0.10     0.00    75413     0.00     0.00  std::__detail::operator==(std::__detail::_Node_const_iterator<std::pair<unsigned int const, ComponentContainer>, false, false> const&, std::__detail::_Node_const_iterator<std::pair<unsigned int const, ComponentContainer>, false, false> const&)
  0.00      0.10     0.00    75399     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::size() const
  0.00      0.10     0.00    75399     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::__small_size_threshold()
  0.00      0.10     0.00    75399     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<unsigned long> >::__small_size_threshold()
  0.00      0.10     0.00    75399     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false> const&)
  0.00      0.10     0.00    66318     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >::_M_ptr() const
  0.00      0.10     0.00    66318     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >::_M_addr() const
  0.00      0.10     0.00    66318     0.00     0.00  std::__detail::_Select1st::__1st_type<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const&>::type&& std::__detail::_Select1st::operator()<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const&>(std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const&) const
  0.00      0.10     0.00    66318     0.00     0.00  std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const& std::forward<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const&>(std::remove_reference<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > const&>::type&)
  0.00      0.10     0.00    66308     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_key_equals(unsigned long const&, std::__detail::_Hash_node_value<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false> const&) const
  0.00      0.10     0.00    66308     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.10     0.00    66308     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned long const&, unsigned long, std::__detail::_Hash_node_value<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false> const&) const
  0.00      0.10     0.00    66308     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long>, true>::_M_cget() const
  0.00      0.10     0.00    66308     0.00     0.00  std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const
  0.00      0.10     0.00    66308     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.10     0.00    63619     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false>*)
  0.00      0.10     0.00    62266     0.00     0.00  bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00    62266     0.00     0.00  std::vector<int, std::allocator<int> >::empty() const
  0.00      0.10     0.00    58134     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      0.10     0.00    56122     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00    54514     0.00     0.00  bool __gnu_cxx::operator!=<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.10     0.00    53599     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.10     0.00    53599     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.10     0.00    50836     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.10     0.00    50592     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.10     0.00    45928     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<System, std::default_delete<System> >*, std::vector<std::unique_ptr<System, std::default_delete<System> >, std::allocator<std::unique_ptr<System, std::default_delete<System> > > > >::base() const
  0.00      0.10     0.00    43596     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() const
  0.00      0.10     0.00    43596     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(unsigned long const&) const
  0.00      0.10     0.00    43596     0.00     0.00  std::unordered_map<unsigned long, std::unique_ptr<Component, std::default_delete<Component> >, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > > >::end() const
  0.00      0.10     0.00    43596     0.00     0.00  std::unordered_map<unsigned long, std::unique_ptr<Component, std::default_delete<Component> >, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > > > >::find(unsigned long const&) const
  0.00      0.10     0.00    43596     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<unsigned int const, ComponentContainer>, false, false>::operator->() const
  0.00      0.10     0.00    43596     0.00     0.00  std::__detail::operator==(std::__detail::_Node_const_iterator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false, false> const&, std::__detail::_Node_const_iterator<std::pair<unsigned long const, std::unique_ptr<Component, std::default_delete<Component> > >, false, false> const&)
